500342,Prudential Sugar Corporation Ltd,PRUDMOULI,INE024D01016
500343,AMJ LAND HOLDINGS LIMITED,AMJLAND,INE606A01024
500346,Punjab Communications Limited,PUNJCOMMU,INE609A01010
500350,RSWM Limited,RSWM,INE611A01016
500354,Rajshree Sugars & Chemicals Ltd.,RAJSREESUG,INE562B01019
500355,Rallis India Ltd,RALLIS,INE613A01020
500356,Shree Rama Newsprint Limited,RAMANEWS,INE278B01020
500357,Rama Paper Mills Limited,RAMAPPR-B,INE425E01013
500360,Rapicut Carbides Ltd.,RAPICUT,INE350D01015
500365,WELSPUN SPECIALTY SOLUTIONS LIMITED,WELSPLSOL,INE731F01037
500367,Rubfila International Ltd.,RUBFILA,INE642C01025
500368,Patanjali Foods Limited,PATANJALI,INE619A01035
500370,Salora International Limited,SALORAINTL,INE924A01013
500378,Jindal Saw Ltd.,JINDALSAW,INE324A01024
500380,JK Lakshmi Cement Limited,JKLAKSHMI,INE786A01032
500387,Shree Cements Ltd.,SHREECEM,INE070A01015
500388,Shree Krishna Paper Mills & Industr,SKPMIL,INE970C01012
500390,Reliance Infrastructure Ltd,RELINFRA,INE036A01016
500400,Tata Power Co. Ltd,TATAPOWER,INE245A01021
500402,SPML Infra Limited,SPMLINFRA,INE937A01023
500403,Sundram Fasteners Ltd.,SUNDRMFAST,INE387A01021
500404,Sunflag Iron & Steel Co. Ltd.,SUNFLAG,INE947A01014
500405,Supreme Petrochem Ltd.,SPLPETRO,INE663A01033
500407,Swaraj Engines Ltd.,SWARAJENG,INE277A01016
500408,Tata Elxsi Ltd,TATAELXSI,INE670A01012
500410,ACC Ltd,ACC,INE012A01025
500411,Thermax Ltd.,THERMAX,INE152A01029
500412,Thirumalai Chemicals Ltd.,TIRUMALCHM,INE338A01024
500413,Thomas Cook (India) Ltd.,THOMASCOOK,INE332A01027
500414,Timex Group India Ltd,TIMEX,INE064A01026
500418,Tokyo Plast International Ltd.,TOKYOPLAST,INE932C01012
500420,Torrent Pharmaceuticals Ltd.,TORNTPHARM,INE685A01028
500422,Transchem Limited.,TRANSCHEM,INE019B01010
500425,Ambuja Cements Ltd.,AMBUJACEM,INE079A01024
500426,UTL Industries Limited,UTLINDS,INE184E01024
500429,Uniphos Enterprises Limited.,UNIENTER,INE037A01022
500439,Vardhman Holdings Limited,VHL,INE701A01023
500440,Hindalco Industries Ltd.,HINDALCO,INE038A01020
500444,West Coast Paper Mills Limited,WSTCSTPAPR,INE976A01021
500449,Hindustan Organic Chemicals Ltd.,HOCL,INE048A01011
500450,MPIL CORPORATION LIMITED,MPILCORPL,INE844C01027
500456,Pasupati Acrylon Ltd.,PASUPTAC,INE818B01023
500458,Kore Foods Limited,KORE,INE601A01017
500459,Procter & Gamble Hygiene & Health Care Ltd.,PGHH,INE179A01014
500460,Mukand Ltd.,MUKANDLTD,INE304A01026
500463,BLACK BOX LIMITED,BBOX,INE676A01027
500464,UCAL LIMITED,UCAL,INE139B01016
500467,Harrisons Malayalam Ltd.,HARRMALAYA,INE544A01019
500469,Federal Bank Ltd.,FEDERALBNK,INE171A01029
500470,TATA STEEL LIMITED,TATASTEEL,INE081A01020
500472,SKF India Ltd.,SKFINDIA,INE640A01023
500477,Ashok Leyland Ltd.,ASHOKLEY,INE208A01029
500480,Cummins India Ltd.,CUMMINSIND,INE298A01020
500483,Tata Communications Limited,TATACOMM,INE151A01013
500488,Abbott India Ltd.,ABBOTINDIA,INE358A01014
500490,Bajaj Holdings & Investment Limited,BAJAJHLDNG,INE118A01012
500493,Bharat Forge Ltd,BHARATFORG,INE465A01025
500495,Escorts Kubota Limited,ESCORTS,INE042A01014
500500,Hindustan Motors Ltd.,HINDMOTORS,INE253A01025
500510,Larsen & Toubro Limited,LT,INE018A01030
500520,Mahindra & Mahindra Ltd.,M&M,INE101A01026
500530,Bosch Ltd,BOSCHLTD,INE323A01026
500547,Bharat Petroleum Corpn. Ltd.,BPCL,INE029A01011
500550,Siemens Ltd.,SIEMENS,INE003A01024
500570,Tata Motors Ltd.,TATAMOTORS,INE155A01022
500575,Voltas Ltd.,VOLTAS,INE226A01021
500620,Great Eastern Shipping Co. Ltd.,GESHIP,INE017A01032
500645,Deepak Fertilizers &Petrochemicals,DEEPAKFERT,INE501A01019
500650,Excell Industries Ltd.,EXCELINDUS,INE369A01029
500655,GARWARE HI-TECH FILMS LIMITED,GRWRHITECH,INE291A01017
500660,GlaxoSmithkline Pharmaceuticals Ltd.,GLAXO,INE159A01016
500670,Gujarat Narmada Valley Fert.Co.Ltd,GNFC,INE113A01013
500672,Novartis India Limited.,NOVARTIND,INE234A01025
500674,Sanofi India Ltd,SANOFI,INE058A01010
500680,Pfizer Ltd.,PFIZER,INE182A01018
500690,Gujarat State Fertilizers & Chem.Ltd,GSFC,INE026A01025
500696,Hindustan Unilever Ltd.,HINDUNILVR,INE030A01027
500710,Akzo Nobel India Limited,AKZOINDIA,INE133A01011
500730,NOCIL Ltd,NOCIL,INE163A01018
500770,Tata Chemicals Ltd,TATACHEM,INE092A01019
